settlement_id,txn_id,order_id,merchant_id,gross_amount,pg_fee,gst_on_fee,tds_withheld,net_payout,merchant_gstin,merchant_ytd_gross_opening,payment_method,utr,timestamp
SET_TXN_00049,TXN_00049,ORD_TXN_00049,MERCH_004,890.00,17.80,3.20,0.00,869.00,29AAAAA0004A1Z5,3390.00,UPI,UTR835416391,2026-08-09T15:00:00+00:00
SET_TXN_00046,TXN_00046,ORD_TXN_00046,MERCH_009,1000.00,20.00,3.60,0.00,976.40,29AAAAA0009A1Z5,5200.00,NETBANKING,UTR384813472,2026-08-06T03:00:00+00:00
SET_TXN_00014,TXN_00014,ORD_TXN_00014,MERCH_001,1000.00,20.00,3.60,1.00,975.40,29AAAAA0001A1Z5,500400.00,UPI,UTR577937265,2026-08-14T22:00:00+00:00
SET_TXN_00008,TXN_00008,ORD_TXN_00008,MERCH_003,5400.00,108.00,19.44,5.40,5267.16,29AAAAA0003A1Z5,501590.00,CARD,UTR800659821,2026-08-08T03:00:00+00:00
SET_TXN_00012,TXN_00012,ORD_TXN_00012,MERCH_015,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0015A1Z5,0.00,CARD,UTR276242142,2026-08-12T01:00:00+00:00
SET_TXN_00056,TXN_00056,ORD_TXN_00056,MERCH_013,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0013A1Z5,12500.00,UPI,UTR328910784,2026-08-15T10:00:00+00:00
SET_TXN_00015,TXN_00015,ORD_TXN_00015,MERCH_015,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0015A1Z5,2500.00,NETBANKING,UTR929364510,2026-08-15T00:00:00+00:00
SET_TXN_00063,TXN_00063,ORD_TXN_00063,MERCH_012,890.00,17.80,3.20,0.00,869.00,29AAAAA0012A1Z5,10790.00,UPI,UTR766447461,2026-08-20T07:00:00+00:00
SET_TXN_00029,TXN_00029,ORD_TXN_00029,MERCH_005,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0005A1Z5,28200.00,UPI,UTR615831407,2026-08-09T15:00:00+00:00
SET_TXN_00059,TXN_00059,ORD_TXN_00059,MERCH_010,890.00,250.00,45.00,0.00,12205.00,29AAAAA0010A1Z5,5390.00,CARD,UTR639097378,2026-08-16T20:00:00+00:00
SET_TXN_00038,TXN_00038,ORD_TXN_00038,MERCH_008,890.00,17.80,3.20,0.00,869.00,29AAAAA0008A1Z5,2500.00,CARD,UTR126381074,2026-08-18T14:00:00+00:00
SET_TXN_00060,TXN_00060,ORD_TXN_00060,MERCH_008,NOT_A_NUMBER,64.00,11.52,0.00,3124.48,29AAAAA0008A1Z5,3390.00,UPI,UTR796780730,2026-08-17T15:00:00+00:00
SET_TXN_00024,TXN_00024,ORD_TXN_00024,MERCH_006,1000.00,20.00,3.60,0.00,976.40,29AAAAA0006A1Z5,13500.00,CARD,UTR791209908,2026-08-04T02:00:00+00:00
SET_TXN_00009,TXN_00009,ORD_TXN_00009,MERCH_010,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0010A1Z5,0.00,UPI,UTR502655738,2026-08-09T23:00:00+00:00
SET_TXN_00032,TXN_00032,ORD_TXN_00032,MERCH_002,12500.00,250.00,45.00,12.50,12192.50,29AAAAA0002A1Z5,504200.00,UPI,UTR495572438,2026-08-12T09:00:00+00:00
SET_TXN_00026,TXN_00026,ORD_TXN_00026,MERCH_012,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0012A1Z5,3500.00,CARD,UTR379104326,2026-08-06T01:00:00+00:00
SET_TXN_00047,TXN_00047,ORD_TXN_00047,MERCH_004,890.00,17.80,3.20,0.00,869.00,29AAAAA0004A1Z5,2500.00,NETBANKING,UTR888331419,2026-08-07T11:00:00+00:00
SET_TXN_00002,TXN_00002,ORD_TXN_00002,MERCH_005,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0005A1Z5,0.00,CARD,UTR273610978,2026-08-02T13:00:00+00:00
SET_TXN_00030,TXN_00030,ORD_TXN_00030,MERCH_003,1000.00,20.00,3.60,1.00,975.40,29AAAAA0003A1Z5,510490.00,UPI,UTR771735535,2026-08-10T21:00:00+00:00
SET_TXN_00051,TXN_00051,ORD_TXN_00051,MERCH_005,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0005A1Z5,31400.00,UPI,UTR934672680,2026-08-11T20:00:00+00:00
SET_TXN_00045,TXN_00045,ORD_TXN_00045,MERCH_001,3200.00,64.00,11.52,3.20,3121.28,29AAAAA0001A1Z5,507800.00,UPI,UTR589036921,2026-08-05T23:00:00+00:00
SET_TXN_00016,TXN_00016,ORD_TXN_00016,MERCH_003,1000.00,20.00,3.60,1.00,975.40,29AAAAA0003A1Z5,506990.00,UPI,UTR767705360,2026-08-16T15:00:00+00:00
SET_TXN_00062,TXN_00062,ORD_TXN_00062,MERCH_012,890.00,17.80,3.20,0.00,869.00,29AAAAA0012A1Z5,9900.00,CARD,UTR199534136,2026-08-19T15:00:00+00:00
SET_TXN_00003,TXN_00003,ORD_TXN_00003,MERCH_005,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0005A1Z5,12500.00,NETBANKING,UTR287199970,2026-08-03T20:00:00+00:00
SET_TXN_00028,TXN_00028,ORD_TXN_00028,MERCH_005,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0005A1Z5,25000.00,CARD,UTR836481039,2026-08-08T14:00:00+00:00
SET_TXN_00053,TXN_00053,ORD_TXN_00053,MERCH_004,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0004A1Z5,5170.00,NETBANKING,UTR130197839,2026-08-13T09:00:00+00:00
SET_TXN_00039,TXN_00039,ORD_TXN_00039,MERCH_002,3200.00,64.00,11.52,3.20,3121.28,29AAAAA0002A1Z5,516700.00,NETBANKING,UTR806552748,2026-08-19T17:00:00+00:00
SET_TXN_00041,TXN_00041,ORD_TXN_00041,MERCH_010,1000.00,20.00,3.60,0.00,976.40,29AAAAA0010A1Z5,3500.00,UPI,UTR227450142,2026-08-01T15:00:00+00:00
SET_TXN_00021,TXN_00021,ORD_TXN_00021,MERCH_014,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0014A1Z5,0.00,NETBANKING,UTR383767074,2026-08-01T03:00:00+00:00
SET_TXN_00020,TXN_00020,ORD_TXN_00020,MERCH_009,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0009A1Z5,0.00,UPI,UTR257347812,2026-08-20T00:00:00+00:00
SET_TXN_00061,TXN_00061,ORD_TXN_00061,MERCH_002,NOT_A_NUMBER,64.00,11.52,3.20,3121.28,29AAAAA0002A1Z5,522400.00,NETBANKING,UTR385999112,2026-08-18T03:00:00+00:00
SET_TXN_00025,TXN_00025,ORD_TXN_00025,MERCH_012,2500.00,50.00,9.00,0.00,2441.00,29AAAAA0012A1Z5,1000.00,CARD,UTR350439841,2026-08-05T16:00:00+00:00
SET_TXN_00010,TXN_00010,ORD_TXN_00010,MERCH_002,1000.00,20.00,3.60,0.00,976.40,29AAAAA0002A1Z5,498200.00,CARD,UTR228636726,2026-08-10T07:00:00+00:00
SET_TXN_00018,TXN_00018,ORD_TXN_00018,MERCH_012,1000.00,20.00,3.60,0.00,976.40,29AAAAA0012A1Z5,0.00,UPI,UTR260695646,2026-08-18T17:00:00+00:00
SET_TXN_00044,TXN_00044,ORD_TXN_00044,MERCH_011,890.00,17.80,3.20,0.00,869.00,29AAAAA0011A1Z5,0.00,NETBANKING,UTR323841641,2026-08-04T05:00:00+00:00
SET_TXN_00054,TXN_00054,ORD_TXN_00054,MERCH_015,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0015A1Z5,5000.00,UPI,UTR347439911,2026-08-14T08:00:00+00:00
SET_TXN_00011,TXN_00011,ORD_TXN_00011,MERCH_013,12500.00,250.00,45.00,0.00,12205.00,29AAAAA0013A1Z5,0.00,CARD,UTR299531684,2026-08-11T21:00:00+00:00
SET_TXN_00023,TXN_00023,ORD_TXN_00023,MERCH_003,2500.00,50.00,9.00,2.50,2438.50,29AAAAA0003A1Z5,507990.00,NETBANKING,UTR830074512,2026-08-03T18:00:00+00:00
SET_TXN_00001,TXN_00001,ORD_TXN_00001,MERCH_002,3200.00,64.00,11.52,0.00,3124.48,29AAAAA0002A1Z5,495000.00,CARD,UTR980655899,2026-08-01T00:00:00+00:00
