bank_ref,utr,credited_amount,value_date,narration,bank_charges
BANKREF_TXN_00032,UTR768926291,2271.03,2026-08-13,IMPS CR UTR768926291 MERCH_006 SETTLEMENT,0.00
BANKREF_TXN_00054,UTR906364121,40834.13,2026-08-15,IMPS/294169684690/UTR906364121/SETTLEMENT,0.00
BANKREF_TXN_00036,UTR389761938,9587.58,2026-08-17,NEFT/UTR389761938/MERCH_006/NET STLMNT,0.00
KKBK0005678N24555499,,3818.79,2026-08-09,NEFT/UTR634369463/MERCH_004/NET STLMNT,0.00
BANKREF_TXN_00042,UTR572720973,850.19,2026-08-03,IMPS/208469888656/UTR572720973/SETTLEMENT,0.00
BANKREF_TXN_00015,UTR244982797,42836.05,2026-08-16,IMPS/420266537263/UTR244982797/SETTLEMENT,0.00
BANKREF_TXN_00059,UTR849567478,71239.94,2026-08-17,NEFT-HDFC0000123-UTR849567478-MERCH_005,0.00
BANKREF_TXN_00037,UTR591559610,8047.27,2026-08-18,NEFT/UTR591559610/MERCH_006/NET STLMNT,0.00
BANKREF_TXN_00008,UTR864157675,160.76,2026-08-09,IMPS/980445121094/UTR864157675/SETTLEMENT,0.00
BANKREF_TXN_00031,UTR347439911,6710.01,2026-08-12,UPI-SBIN0004521-UTR347439911-MERCH_006,0.00
BANKREF_TXN_00014,UTR651050288,50543.62,2026-08-15,NEFT CR UTR651050288 MERCH_011 SETTLEMENT,0.00
BANKREF_TXN_00011,UTR275602993,3337.78,2026-08-12,NEFT/UTR275602993/MERCH_015/NET STLMNT,0.00
BANKREF_TXN_00062,,63968.66,2026-08-28,NEFT-UTIB0000456-UTR518584072-MERCH_007,0.00
BANKREF_TXN_00021,UTR555579834,3354.19,2026-08-03,BY TRANSFER-UPI*ICIC*UTR555579834*RAZORPAY-,0.00
BANKREF_TXN_00022,UTR721041977,717.87,2026-08-05,IMPS/493128479900/UTR721041977/SETTLEMENT,0.00
BANKREF_TXN_00040,UTR836650738,17328.12,2026-08-21,IMPS/170310800231/UTR836650738/SETTLEMENT,0.00
BANKREF_TXN_00012,UTR298485996,938.37,2026-08-13,UPI CR UTR298485996 MERCH_003 SETTLEMENT,0.00
BANKREF_TXN_00033,UTR400626496,6800.32,2026-08-14,NEFT CR UTR400626496 MERCH_013 SETTLEMENT,0.00
ICIC0001234N54227716,,1316.91,2026-08-07,UPI/UTR431626123/MERCH_010/NET STLMNT,0.00
BANKREF_TXN_00019,UTR746882649,136.67,2026-08-22,BY TRANSFER-NEFT*UTIB*UTR746882649*RAZORPAY-,0.00
BANKREF_TXN_00052,UTR699379633,7770.58,2026-08-13,IMPS CR UTR699379633 MERCH_011 SETTLEMENT,0.00
BANKREF_TXN_00013,UTR297913261,2839.12,2026-08-14,IMPS/534547441922/UTR297913261/SETTLEMENT,0.00
BANKREF_TXN_00001,UTR307942293,479.83,2026-08-02,IMPS-UTIB0000456-UTR307942293-MERCH_002,0.00
BANKREF_TXN_00041,UTR367363175,3643.15,2026-08-02,BY TRANSFER-IMPS*KKBK*UTR367363175*RAZORPAY-,0.00
BANKREF_TXN_00038,UTR242044074,58670.64,2026-08-19,BY TRANSFER-NEFT*HDFC*UTR242044074*RAZORPAY-,0.00
BANKREF_TXN_00024,UTR918747559,63061.82,2026-08-07,BY TRANSFER-NEFT*UTIB*UTR918747559*RAZORPAY-,0.00
BANKREF_TXN_00010,UTR491150281,6598.75,2026-08-11,IMPS-HDFC0000123-UTR491150281-MERCH_003,0.00
BANKREF_TXN_00003,UTR303980213,8328.85,2026-08-04,NEFT-HDFC0000123-UTR303980213-MERCH_003,0.00
BANKREF_TXN_00058,UTR541113249,71239.94,2026-08-17,NEFT-SBIN0004521-UTR541113249-MERCH_006,0.00
BANKREF_TXN_00016,UTR147287609,429.86,2026-08-17,IMPS-KKBK0005678-UTR147287609-MERCH_003,0.00
BANKREF_TXN_00043,UTR311431648,2419.49,2026-08-04,BY TRANSFER-NEFT*ICIC*UTR311431648*RAZORPAY-,0.00
BANKREF_TXN_00057,UTR175131984,713.90,2026-08-16,NEFT CR UTR175131984 MERCH_011 SETTLEMENT,0.00
BANKREF_TXN_00051_DUP,UTR289321853,46648.99,2026-08-12,IMPS/405575290606/UTR289321853/SETTLEMENT,0.00
HDFC0000123N32979555,,3421.63,2026-08-10,IMPS CR UTR669586504 MERCH_015 SETTLEMENT,0.00
BANKREF_TXN_00044,UTR968295917,8263.07,2026-08-05,UPI CR UTR968295917 MERCH_013 SETTLEMENT,0.00
BANKREF_TXN_00048,UTR744323004,6656.92,2026-08-09,IMPS-SBIN0004521-UTR744323004-MERCH_003,0.00
BANKREF_TXN_00023,UTR322616528,217.92,2026-08-05,IMPS-UTIB0000456-UTR322616528-MERCH_001,0.00
BANKREF_TXN_00047,UTR698644561,6629.94,2026-08-08,IMPS/585437000605/UTR698644561/SETTLEMENT,0.00
BANKREF_TXN_00002,UTR694016622,38323.69,2026-08-03,NEFT/UTR694016622/MERCH_005/NET STLMNT,0.00
BANKREF_TXN_00052_DUP,UTR699379633,7770.58,2026-08-13,IMPS CR UTR699379633 MERCH_011 SETTLEMENT,0.00
BANKREF_TXN_00007,UTR993573194,307.70,2026-08-08,BY TRANSFER-UPI*ICIC*UTR993573194*RAZORPAY-,0.00
BANKREF_TXN_00034,UTR855392155,5276.94,2026-08-15,BY TRANSFER-IMPS*HDFC*UTR855392155*RAZORPAY-,0.00
BANKREF_TXN_00061,UTR350756405,315.94,2026-08-19,IMPS/115707280205/UTR350756405/SETTLEMENT,0.00
HDFC0000123N85239862,,2823.58,2026-08-08,UPI/3TR694524394/MERCH_004/NET STLMNT,0.00
BANKREF_TXN_00053_DUP,UTR549325370,80740.57,2026-08-14,UPI/UTR549325370/MERCH_005/NET STLMNT,0.00
